,Unnamed: 0,AlertAlarmDateTime,SnapshotUrl,TimeZoneAbreviation,UtcOffsetMinutes,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
7,7,2023-04-05T20:12:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/4/5/20/12/VU207150371310_2_1680725538,,0.0,206,Device,,PROTECTIVE LIMIT-STARTER FAULT ,Apr  5 2023  8:12PM,True,False,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
10,10,2023-04-11T20:07:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/4/11/20/8/VU207150371310_2_1681243670,,0.0,206,Device,,PROTECTIVE LIMIT-STARTER FAULT ,Apr 11 2023  8:07PM,True,False,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
14,14,2023-06-20T03:20:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/20/3/20/VU207150371310_2_1687231208,,0.0,163,Device,,SENSOR ALERT-CONDENSER APPROACH,Jun 20 2023  3:20AM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
15,15,2023-06-20T03:20:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/20/3/20/VU207150371310_2_1687231208,,0.0,230,Device,,PROTECTIVE LIMIT-LOW CONDENSER WATER FLOW,Jun 20 2023  3:20AM,True,False,False,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
30,30,2023-06-30T18:58:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/30/18/58/VU207150371310_2_1688151486,,0.0,163,Device,,SENSOR ALERT-CONDENSER APPROACH,Jun 30 2023  6:58PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
31,31,2023-06-30T18:58:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/30/18/58/VU207150371310_2_1688151486,,0.0,120,Device,,RUN CAPACITY LIMITED-HIGH CONDENSER PRESSURE,Jun 30 2023  6:58PM,False,True,False,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
32,32,2023-06-30T18:58:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/30/18/58/VU207150371310_2_1688151486,,0.0,238,Device,,PROTECTIVE LIMIT-EXCESSIVE COMPR SURGE,Jun 30 2023  6:58PM,True,False,False,,,,,,,ALARM_03,CH_ALARM_03,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
33,33,2023-06-30T18:58:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/30/18/58/VU207150371310_2_1688151486,,0.0,230,Device,,PROTECTIVE LIMIT-LOW CONDENSER WATER FLOW,Jun 30 2023  6:58PM,True,False,False,,,,,,,ALARM_04,CH_ALARM_04,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
34,34,2023-06-30T18:58:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/30/18/58/VU207150371310_2_1688151486,,0.0,151,Device,,CONDENSER PRESSURE ALERT-PUMP RELAY ENERGIZED,Jun 30 2023  6:58PM,False,True,False,,,,,,,ALARM_05,CH_ALARM_05,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
44,44,2023-06-30T19:21:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/30/19/21/VU207150371310_2_1688152875,,0.0,163,Device,,SENSOR ALERT-CONDENSER APPROACH,Jun 30 2023  7:21PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
45,45,2023-06-30T19:21:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/30/19/21/VU207150371310_2_1688152875,,0.0,120,Device,,RUN CAPACITY LIMITED-HIGH CONDENSER PRESSURE,Jun 30 2023  7:21PM,False,True,False,,,,,,,ALARM_02,CH_ALARM_02,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
46,46,2023-06-30T19:21:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/6/30/19/21/VU207150371310_2_1688152875,,0.0,151,Device,,CONDENSER PRESSURE ALERT-PUMP RELAY ENERGIZED,Jun 30 2023  7:21PM,False,True,False,,,,,,,ALARM_03,CH_ALARM_03,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
